2020-12-03 00:28:43.348 [http-nio-8001-exec-2] INFO  com.ltz.news.aspect.ServiceLogAspect - ==== 开始执行 class com.ltz.news.service.impl.ArticlePortalServiceImpl.queryIndexArticleList====
2020-12-03 00:28:43.352 [http-nio-8001-exec-1] INFO  com.ltz.news.aspect.ServiceLogAspect - ==== 开始执行 class com.ltz.news.service.impl.ArticlePortalServiceImpl.queryHotList====
2020-12-03 00:28:43.359 [http-nio-8001-exec-2] INFO  com.ltz.news.aspect.ServiceLogAspect - 当前执行耗时：11
2020-12-03 00:28:43.366 [http-nio-8001-exec-1] INFO  com.ltz.news.aspect.ServiceLogAspect - 当前执行耗时：14
2020-12-03 00:28:44.374 [http-nio-8001-exec-3] INFO  com.ltz.news.aspect.ServiceLogAspect - ==== 开始执行 class com.ltz.news.service.impl.ArticlePortalServiceImpl.queryDetail====
2020-12-03 00:28:44.381 [http-nio-8001-exec-3] INFO  com.ltz.news.aspect.ServiceLogAspect - 当前执行耗时：7
2020-12-03 00:28:46.490 [http-nio-8001-exec-6] INFO  com.ltz.news.aspect.ServiceLogAspect - ==== 开始执行 class com.ltz.news.service.impl.ArticlePortalServiceImpl.queryIndexArticleList====
2020-12-03 00:28:46.493 [http-nio-8001-exec-10] INFO  com.ltz.news.aspect.ServiceLogAspect - ==== 开始执行 class com.ltz.news.service.impl.ArticlePortalServiceImpl.queryHotList====
2020-12-03 00:28:46.503 [http-nio-8001-exec-6] INFO  com.ltz.news.aspect.ServiceLogAspect - 当前执行耗时：13
2020-12-03 00:28:46.505 [http-nio-8001-exec-10] INFO  com.ltz.news.aspect.ServiceLogAspect - 当前执行耗时：12
2020-12-03 00:28:49.751 [http-nio-8001-exec-7] INFO  com.ltz.news.aspect.ServiceLogAspect - ==== 开始执行 class com.ltz.news.service.impl.ArticlePortalServiceImpl.queryDetail====
2020-12-03 00:28:49.757 [http-nio-8001-exec-7] INFO  com.ltz.news.aspect.ServiceLogAspect - 当前执行耗时：5
2020-12-03 00:28:52.442 [http-nio-8001-exec-8] INFO  com.ltz.news.aspect.ServiceLogAspect - ==== 开始执行 class com.ltz.news.service.impl.ArticlePortalServiceImpl.queryIndexArticleList====
2020-12-03 00:28:52.449 [http-nio-8001-exec-4] INFO  com.ltz.news.aspect.ServiceLogAspect - ==== 开始执行 class com.ltz.news.service.impl.ArticlePortalServiceImpl.queryHotList====
2020-12-03 00:28:52.453 [http-nio-8001-exec-8] INFO  com.ltz.news.aspect.ServiceLogAspect - 当前执行耗时：11
2020-12-03 00:28:52.459 [http-nio-8001-exec-4] INFO  com.ltz.news.aspect.ServiceLogAspect - 当前执行耗时：10
